iter	Passed	Remaining
400	24250	36224
401	24307	36158
402	24363	36091
403	24423	36030
404	24478	35962
405	24536	35897
406	24595	35835
407	24650	35767
408	24706	35701
409	24762	35634
410	24819	35569
411	24874	35501
412	24931	35434
413	24988	35369
414	25050	35311
415	25111	35252
416	25177	35200
417	25233	35134
418	25290	35069
419	25347	35004
420	25404	34938
421	25460	34872
422	25518	34808
423	25574	34742
424	25632	34679
425	25692	34618
426	25752	34557
427	25810	34494
428	25865	34427
429	25921	34361
430	25979	34297
431	26033	34229
432	26090	34164
433	26146	34098
434	26203	34034
435	26262	33972
436	26320	33909
437	26380	33848
438	26438	33786
439	26505	33734
440	26569	33679
441	26637	33628
442	26696	33565
443	26751	33499
444	26806	33433
445	26863	33368
446	26918	33301
447	26971	33233
448	27029	33169
449	27086	33105
450	27149	33049
451	27226	33009
452	27307	32974
453	27376	32924
454	27439	32867
455	27496	32802
456	27552	32737
457	27610	32674
458	27666	32609
459	27722	32544
460	27782	32482
461	27837	32416
462	27897	32356
463	27957	32295
464	28020	32238
465	28079	32176
466	28137	32114
467	28203	32060
468	28266	32002
469	28321	31937
470	28380	31875
471	28440	31814
472	28498	31752
473	28559	31692
474	28617	31629
475	28677	31569
476	28738	31509
477	28796	31447
478	28854	31384
479	28913	31322
480	28973	31262
481	29030	31198
482	29090	31138
483	29148	31075
484	29208	31014
485	29265	30951
486	29325	30891
487	29383	30828
488	29443	30768
489	29502	30706
490	29562	30646
491	29619	30582
492	29679	30522
493	29735	30457
494	29794	30396
495	29852	30333
496	29907	30268
497	29962	30203
498	30020	30140
499	30073	30073
500	30131	30011
501	30189	29949
502	30251	29890
503	30311	29830
504	30368	29767
505	30424	29702
506	30480	29638
507	30536	29574
508	30590	29509
509	30646	29444
510	30703	29381
511	30759	29317
512	30815	29253
513	30871	29189
514	30928	29126
515	30982	29060
516	31036	28995
517	31094	28933
518	31153	28872
519	31207	28806
520	31262	28742
521	31319	28679
522	31375	28616
523	31430	28551
524	31485	28486
525	31541	28423
526	31598	28360
527	31654	28297
528	31710	28233
529	31767	28170
530	31821	28106
531	31877	28042
532	31931	27977
533	31988	27915
534	32045	27852
535	32102	27790
536	32158	27726
537	32212	27661
538	32267	27598
539	32323	27535
540	32379	27471
541	32437	27410
542	32494	27347
543	32550	27285
544	32605	27221
545	32660	27156
546	32715	27093
547	32770	27029
548	32825	26965
549	32880	26902
550	32937	26839
551	32997	26780
552	33056	26720
553	33116	26660
554	33176	26600
555	33235	26540
556	33291	26478
557	33348	26416
558	33407	26355
559	33467	26296
560	33528	26237
561	33591	26179
562	33653	26121
563	33710	26059
564	33767	25997
565	33824	25935
566	33884	25876
567	33941	25814
568	33998	25752
569	34055	25691
570	34109	25627
571	34164	25563
572	34226	25505
573	34286	25446
574	34342	25383
575	34401	25323
576	34476	25274
577	34535	25214
578	34597	25156
579	34682	25115
580	34758	25066
581	34830	25015
582	34903	24965
583	34974	24913
584	35034	24853
585	35092	24792
586	35150	24731
587	35206	24668
588	35260	24604
589	35321	24545
590	35376	24482
591	35432	24419
592	35488	24357
593	35543	24293
594	35600	24232
595	35659	24171
596	35719	24112
597	35776	24050
598	35835	23990
599	35895	23930
600	35953	23869
601	36022	23815
602	36089	23760
603	36160	23707
604	36222	23649
605	36278	23586
606	36334	23524
607	36391	23462
608	36447	23400
609	36501	23337
610	36557	23274
611	36611	23211
612	36667	23149
613	36724	23087
614	36780	23025
615	36838	22964
616	36894	22901
617	36950	22839
618	37007	22778
619	37063	22716
620	37120	22654
621	37183	22597
622	37248	22540
623	37305	22479
624	37360	22416
625	37417	22354
626	37476	22294
627	37536	22234
628	37602	22178
629	37659	22117
630	37715	22055
631	37770	21993
632	37827	21931
633	37884	21870
634	37948	21812
635	38014	21756
636	38072	21695
637	38131	21636
638	38188	21574
639	38248	21514
640	38307	21454
641	38365	21393
642	38421	21331
643	38480	21271
644	38547	21215
645	38610	21158
646	38669	21097
647	38727	21037
648	38785	20976
649	38842	20915
650	38898	20853
651	38957	20793
652	39026	20738
653	39091	20681
654	39147	20619
655	39204	20558
656	39261	20497
657	39317	20435
658	39374	20374
659	39431	20313
660	39488	20251
661	39543	20190
662	39604	20130
663	39674	20076
664	39737	20018
665	39793	19956
666	39850	19895
667	39904	19832
668	39960	19771
669	40017	19710
670	40073	19648
671	40141	19592
672	40203	19534
673	40261	19473
674	40316	19411
675	40375	19351
676	40440	19294
677	40502	19235
678	40560	19175
679	40616	19113
680	40673	19052
681	40731	18992
682	40787	18930
683	40845	18870
684	40903	18809
685	40957	18747
686	41014	18686
687	41071	18625
688	41130	18565
689	41195	18508
690	41256	18448
691	41312	18387
692	41369	18326
693	41424	18264
694	41481	18203
695	41536	18142
696	41592	18081
697	41650	18020
698	41706	17959
699	41766	17900
700	41833	17843
701	41889	17782
702	41948	17722
703	42009	17663
704	42071	17604
705	42127	17543
706	42182	17481
707	42244	17422
708	42318	17368
709	42379	17309
710	42440	17250
711	42497	17190
712	42552	17128
713	42609	17067
714	42672	17009
715	42732	16949
716	42793	16890
717	42853	16830
718	42908	16769
719	42964	16708
720	43020	16647
721	43085	16589
722	43164	16537
723	43238	16483
724	43309	16427
725	43376	16370
726	43437	16311
727	43496	16251
728	43554	16190
729	43610	16129
730	43664	16067
731	43720	16006
732	43774	15945
733	43833	15885
734	43886	15823
735	43941	15761
736	43996	15700
737	44057	15641
738	44115	15580
739	44182	15523
740	44238	15462
741	44297	15402
742	44367	15346
743	44436	15289
744	44517	15237
745	44580	15178
746	44638	15118
747	44697	15058
748	44752	14997
749	44810	14936
750	44875	14878
751	44941	14821
752	45013	14765
753	45082	14708
754	45159	14654
755	45250	14604
756	45340	14554
757	45416	14499
758	45494	14445
759	45569	14390
760	45645	14335
761	45719	14279
762	45792	14224
763	45864	14167
764	45938	14111
765	46006	14054
766	46067	13994
767	46128	13934
768	46186	13873
